task_id,task_name,task_category,computational_step,classical_algorithm,typical_classical_runtime_ms,input_size_bytes,output_size_bytes,latency_budget_ms,deadline_class,classification_level,priority,network_required,quantum_candidate,quantum_algorithm,expected_quantum_speedup,error_tolerance
C2-02,Route Planning (A*/D*),JADC2 / C2,Shortest path planning on road/terrain network,A* / D* Lite / Dijkstra,10-1000,100 KB-10 MB,1-100 KB,1000,soft-realtime,CUI,2,edge-LAN,N,none,none,n/a
C2-03,Multi-Vehicle Routing (VRP),JADC2 / C2,Optimize routes for multiple vehicles with constraints,OR-Tools / Gurobi / LKH-3,1000-100000,10-100 KB,1-10 KB,60000,batch,CUI,2,SATCOM-OK,Y,QAOA / quantum annealing,unproven (demos at 5-13 nodes),NISQ-tolerant
C2-04,Weapon-Target Assignment,JADC2 / C2,Assign effectors to targets maximizing kill probability,ILP / branch-and-bound,100-50000,1-10 KB,<1 KB,5000,soft-realtime,SECRET,1,edge-LAN,Y,QUBO / QAOA,unproven (demos on IBM Lima),NISQ-tolerant
C2-05,Mission Scheduling / ATO,JADC2 / C2,Schedule air tasking order across assets and time windows,CPLEX / Gurobi MIP,10000-300000,100 KB-10 MB,10-100 KB,3600000,batch,SECRET,1,SATCOM-OK,Y,QUBO / quantum annealing,unproven,NISQ-tolerant
C2-06,Logistics Optimization,JADC2 / C2,Optimize supply chain flow across theater network,LP / network flow / Gurobi,5000-100000,10-100 KB,1-10 KB,3600000,batch,CUI,2,SATCOM-OK,maybe,QUBO,unproven,NISQ-tolerant
C2-07,FMV Image Classification,JADC2 / C2,Classify objects in full-motion video frames,CNN (YOLO/SSD/EfficientDet),20-100 per frame,1-5 MB per frame,<1 KB,100,hard-realtime,SECRET,1,local,N,none,none,n/a
C2-08,EO/IR Object Detection,JADC2 / C2,Detect and track objects in electro-optical / infrared imagery,YOLO / Faster R-CNN,20-100 per frame,1-5 MB per frame,1-10 KB,100,hard-realtime,SECRET,1,local,N,none,none,n/a
C2-09,Change Detection,JADC2 / C2,Identify changes between temporal image pairs,Image differencing + CNN,500-5000,10-50 MB per pair,1-100 KB,10000,batch,SECRET,1,SATCOM-OK,N,none,none,n/a
C2-10,NLP on Intel Reports,JADC2 / C2,Extract entities and relationships from text intelligence,Transformer NER / relation extraction,100-1000,1-100 KB text,1-10 KB,5000,batch,TS-SCI,1,DDIL-tolerant,N,none,none,n/a
C2-11,Speech-to-Text on Radio,JADC2 / C2,Transcribe tactical radio communications,Whisper / Conformer ASR,500-5000,1-10 MB audio,1-100 KB,5000,soft-realtime,SECRET,1,local,N,none,none,n/a
C2-12,Anomaly Detection / SIEM,JADC2 / C2,Detect anomalous network or operational patterns,Isolation forest / autoencoder,10-100,1-10 KB,<1 KB,1000,soft-realtime,CUI,2,edge-LAN,N,none,none,n/a
CRYPTO-01,AES-256 Encrypt/Decrypt,Cryptography / Comms,Symmetric encryption of data at rest or in transit,AES-NI hardware acceleration,<1,variable,variable,1,hard-realtime,variable,3,local,N,none,none,n/a
CRYPTO-02,Quantum Random Number Generation,Cryptography / Comms,Generate high-entropy keying material,QRNG hardware (Quantinuum Quantum Origin),<1,n/a,32-256 bytes,10,hard-realtime,UNCLASS,3,local,Y (operational today),QRNG,proven (NIST SP 800-90B validated),n/a
CRYPTO-03,ECDH / PQC Key Exchange,Cryptography / Comms,Establish shared secret via key encapsulation,ML-KEM (Kyber) / X25519,1-10,1-5 KB,1-5 KB,50,hard-realtime,variable,3,local,N,none,none,n/a
CRYPTO-04,SHA-3 / HMAC,Cryptography / Comms,Cryptographic hashing and message authentication,SHA-3 / SHAKE / HMAC,<1,variable,32-64 bytes,1,hard-realtime,variable,3,local,N,none,none,n/a
SAT-01,Orbit Propagation (SGP4),Satellite Ops,Predict satellite position from TLE,SGP4 / SDP4,<1 per object,<1 KB,<1 KB,100,soft-realtime,UNCLASS,3,local,N,none,none,n/a
SAT-02,Constellation Tasking / Scheduling,Satellite Ops,Assign collection requests to satellite passes,CPLEX / Gurobi MIP / heuristic,10000-300000,10-100 KB,1-10 KB,3600000,batch,SECRET,1,SATCOM-OK,Y,QUBO / quantum annealing,unproven,NISQ-tolerant
SAT-03,Collision Avoidance Maneuver,Satellite Ops,Plan orbit adjustment to avoid conjunction,Lambert solver / NLP optimization,1000-60000,1-10 KB,<1 KB,3600000,batch,CUI,2,SATCOM-OK,maybe,VQE / variational optimization,unproven (FT-required),FT-required
